geneId,geneSymbol,diseaseId,diseaseName,diseaseClass,pmid,source,class
118,ADD1,C0027051,Myocardial Infarction,C14,19145769,LHGDN,3393
118,ADD1,C0027051,Myocardial Infarction,C14,10723114,BEFREE,3393
125,ADH1B,C0007785,Cerebral Infarction,C10;C14,15534263,CTD_human,6713
125,ADH1B,C0007785,Cerebral Infarction,C10;C14,15534263,BEFREE,6713
125,ADH1B,C0271650,Impaired glucose tolerance,C18,20700531,BEFREE,9351
125,ADH1B,C0007785,Cerebral Infarction,C10;C14,15534263,LHGDN,6713
125,ADH1B,C0027051,Myocardial Infarction,C14,20031627,BEFREE,3393
126,ADH1C,C0027051,Myocardial Infarction,C14,14726542,BEFREE,3393
126,ADH1C,C0027051,Myocardial Infarction,C14,11207350,BEFREE,3393
126,ADH1C,C0027051,Myocardial Infarction,C14,20031627,BEFREE,3393
126,ADH1C,C0027051,Myocardial Infarction,C14,16051248,BEFREE,3393
126,ADH1C,C0271650,Impaired glucose tolerance,C18,20700531,BEFREE,9351
128,ADH5,C0027051,Myocardial Infarction,C14,19325130,BEFREE,3393
128,ADH5,C0004096,Asthma,C08;C20,20335826,BEFREE,2841
128,ADH5,C0004096,Asthma,C08;C20,17543375,LHGDN,2841
133,ADM,C0007785,Cerebral Infarction,C10;C14,15684700,BEFREE,6713
133,ADM,C0004096,Asthma,C08;C20,22686590,BEFREE,2841
133,ADM,C0027051,Myocardial Infarction,C14,12805025,LHGDN,3393
133,ADM,C0027051,Myocardial Infarction,C14,15684700,BEFREE,3393
133,ADM,C0020545,Hypertension- Renovascular,C12;C13;C14,11352835,BEFREE,10763
133,ADM,C0013537,Eclampsia,C13,16517613,BEFREE,10763
133,ADM,C0007785,Cerebral Infarction,C10;C14,25252154,BEFREE,6713
133,ADM,C0162739,HELLP Syndrome,C13,11905404,LHGDN,10763
133,ADM,C0027051,Myocardial Infarction,C14,12805025,BEFREE,3393
133,ADM,C0013537,Eclampsia,C13,10421805,BEFREE,10763
133,ADM,C0027051,Myocardial Infarction,C14,28348718,BEFREE,3393
133,ADM,C0271650,Impaired glucose tolerance,C18,22960655,BEFREE,9351
133,ADM,C0011880,Diabetic Ketoacidosis,C18;C19,10609119,BEFREE,9351
133,ADM,C0027051,Myocardial Infarction,C14,16616959,BEFREE,3393
134,ADORA1,C0007785,Cerebral Infarction,C10;C14,17067559,RGD,6713
134,ADORA1,C0004096,Asthma,C08;C20,16364194,BEFREE,2841
134,ADORA1,C0004096,Asthma,C08;C20,14754517,BEFREE,2841
134,ADORA1,C0751848,Thrombotic Infarction- Middle Cerebral Artery,C10;C14,23437309,CTD_human,6713
134,ADORA1,C0004096,Asthma,C08;C20,27182965,GWASCAT,2841
134,ADORA1,C0027051,Myocardial Infarction,C14,12160945,CTD_human,3393
135,ADORA2A,C0025193,Melancholia,F03,26860412,CTD_human,1596
135,ADORA2A,C0004096,Asthma,C08;C20,18442791,LHGDN,2841
135,ADORA2A,C0004096,Asthma,C08;C20,16339780,LHGDN,2841
140,ADORA3,C0027051,Myocardial Infarction,C14,20132822,CTD_human,3393
140,ADORA3,C0027051,Myocardial Infarction,C14,12160945,CTD_human,3393
141,ADPRH,C1863512,HYPERCHOLESTEROLEMIA- AUTOSOMAL RECESSIVE,C18,19477448,BEFREE,1168
141,ADPRH,C1863512,HYPERCHOLESTEROLEMIA- AUTOSOMAL RECESSIVE,C18,12464675,BEFREE,1168
142,PARP1,C0004096,Asthma,C08;C20,22532985,BEFREE,2841
142,PARP1,C0004096,Asthma,C08;C20,19484672,BEFREE,2841
142,PARP1,C0004096,Asthma,C08;C20,24180296,BEFREE,2841
142,PARP1,C0027051,Myocardial Infarction,C14,12440774,BEFREE,3393
142,PARP1,C0004096,Asthma,C08;C20,26169874,BEFREE,2841
142,PARP1,C0004096,Asthma,C08;C20,12594058,BEFREE,2841
142,PARP1,C0004096,Asthma,C08;C20,21276008,BEFREE,2841
142,PARP1,C0027051,Myocardial Infarction,C14,17225870,LHGDN,3393
142,PARP1,C0004096,Asthma,C08;C20,18261157,CTD_human,2841
142,PARP1,C0004096,Asthma,C08;C20,26205779,BEFREE,2841
142,PARP1,C0004096,Asthma,C08;C20,26339143,BEFREE,2841
142,PARP1,C0007785,Cerebral Infarction,C10;C14,10657571,BEFREE,6713
147,ADRA1B,C0004096,Asthma,C08;C20,19910028,BEFREE,2841
148,ADRA1A,C0004096,Asthma,C08;C20,15764725,BEFREE,2841
148,ADRA1A,C0004096,Asthma,C08;C20,15947423,BEFREE,2841
151,ADRA2B,C0271650,Impaired glucose tolerance,C18,15309292,BEFREE,9351
151,ADRA2B,C0004096,Asthma,C08;C20,15764725,BEFREE,2841
151,ADRA2B,C0004096,Asthma,C08;C20,15947423,BEFREE,2841
151,ADRA2B,C0027051,Myocardial Infarction,C14,12401126,BEFREE,3393
151,ADRA2B,C0027051,Myocardial Infarction,C14,12535806,LHGDN,3393
153,ADRB1,C0027051,Myocardial Infarction,C14,18331634,BEFREE,3393
153,ADRB1,C0020545,Hypertension- Renovascular,C12;C13;C14,15592645,RGD,10763
153,ADRB1,C0027051,Myocardial Infarction,C14,18615004,BEFREE,3393
153,ADRB1,C0027051,Myocardial Infarction,C14,17680533,LHGDN,3393
153,ADRB1,C0020545,Hypertension- Renovascular,C12;C13;C14,17278011,RGD,10763
153,ADRB1,C0027051,Myocardial Infarction,C14,17143192,RGD,3393
153,ADRB1,C1135191,Heart Failure- Systolic,C14,25638254,BEFREE,6000
153,ADRB1,C0027051,Myocardial Infarction,C14,21626217,BEFREE,3393
154,ADRB2,C0004096,Asthma,C08;C20,19183167,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22793522,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,18591903,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,11941312,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,9731005,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,17292646,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19441602,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,28093224,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16946993,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,17075257,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,10673187,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16954783,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,15153795,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,21545619,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19910613,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,11713122,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,23384627,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,23548523,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,26369942,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16263254,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,26505596,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,10931116,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,21829036,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,17297203,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,20394512,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,20228825,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16273390,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,17068824,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,24279851,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,18156033,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22045347,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,21294785,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16899844,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,17001289,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19514054,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19800676,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,15976384,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,17714090,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,20335826,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22862293,BEFREE,2841
154,ADRB2,C0038218,Status Asthmaticus,C08;C20,16395068,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,26235677,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,18430791,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22158330,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,14691957,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22192964,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16207148,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,26613553,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,9399966,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,23205695,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,15794198,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,24131275,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19850944,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,21038778,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,15153795,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,12442282,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,25918834,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19905915,BEFREE,2841
154,ADRB2,C0027051,Myocardial Infarction,C14,19623647,BEFREE,3393
154,ADRB2,C0027051,Myocardial Infarction,C14,19190821,LHGDN,3393
154,ADRB2,C0004096,Asthma,C08;C20,24621682,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,20868478,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,15879435,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19638684,BEFREE,2841
154,ADRB2,C0027051,Myocardial Infarction,C14,11821707,BEFREE,3393
154,ADRB2,C0004096,Asthma,C08;C20,7739309,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19254291,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,26633084,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,17299247,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,10903223,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,25501358,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,24691493,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,8764219,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,17415415,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22370858,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,7706471,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,27029682,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,24992184,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,11371409,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,26994621,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,15557128,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,21320165,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,21905268,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,12083965,BEFREE,2841
154,ADRB2,C0027051,Myocardial Infarction,C14,18615004,BEFREE,3393
154,ADRB2,C0004096,Asthma,C08;C20,24641588,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,17428813,BEFREE,2841
154,ADRB2,C0271650,Impaired glucose tolerance,C18,11288039,BEFREE,9351
154,ADRB2,C0004096,Asthma,C08;C20,10950895,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16004558,BEFREE,2841
154,ADRB2,C0027051,Myocardial Infarction,C14,20230274,BEFREE,3393
154,ADRB2,C0027051,Myocardial Infarction,C14,21626217,BEFREE,3393
154,ADRB2,C0004096,Asthma,C08;C20,16369120,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,10936119,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,10524541,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,18303970,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,25819984,BEFREE,2841
154,ADRB2,C0027051,Myocardial Infarction,C14,20399803,BEFREE,3393
154,ADRB2,C0004096,Asthma,C08;C20,10469027,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,26071206,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,20546196,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,23193110,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,20929600,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,11224726,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,15987731,BEFREE,2841
154,ADRB2,C0027051,Myocardial Infarction,C14,16420563,BEFREE,3393
154,ADRB2,C0004096,Asthma,C08;C20,10669529,BEFREE,2841
154,ADRB2,C0027051,Myocardial Infarction,C14,15931235,BEFREE,3393
154,ADRB2,C0004096,Asthma,C08;C20,16596417,BEFREE,2841
154,ADRB2,C0027051,Myocardial Infarction,C14,15520258,LHGDN,3393
154,ADRB2,C0004096,Asthma,C08;C20,17085797,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,20175803,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16164442,BEFREE,2841
154,ADRB2,C0271650,Impaired glucose tolerance,C18,18249219,BEFREE,9351
154,ADRB2,C0004096,Asthma,C08;C20,16289313,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,25233048,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,25180620,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,17068824,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,16357573,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,14650112,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16567656,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22355322,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22526864,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,23548524,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16369119,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,18500733,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,14657864,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,26009249,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,7785006,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22559839,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,24012958,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,10967152,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22883364,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,10934093,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,12807170,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,9351598,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16369120,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,18440968,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,25985706,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,11029338,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,24040906,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16772309,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,12083965,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,18622265,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,22950544,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,25299150,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19430548,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,16935688,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,27450915,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,10873550,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,25074500,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,21801278,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,18035963,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,20423350,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19666775,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,26587832,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,11412813,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19029431,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,9847294,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,23267209,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,14657864,LHGDN,2841
154,ADRB2,C0004096,Asthma,C08;C20,22611179,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,9139767,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,23964556,BEFREE,2841
154,ADRB2,C0027051,Myocardial Infarction,C14,12400771,RGD,3393
154,ADRB2,C0004096,Asthma,C08;C20,17621827,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,7680566,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,9329515,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,18758858,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,25111792,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,18466098,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,14610472,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19077707,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,8834349,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,8383511,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,20175796,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22328447,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,11306963,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22075484,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,12885990,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,21385652,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,18849614,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,11888952,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,19422376,BEFREE,2841
154,ADRB2,C0004096,Asthma,C08;C20,22821646,BEFREE,2841
155,ADRB3,C0011859,Lipoatrophic Diabetes Mellitus,C18;C19,9329375,BEFREE,9351
155,ADRB3,C0271650,Impaired glucose tolerance,C18,18249219,BEFREE,9351
155,ADRB3,C0027051,Myocardial Infarction,C14,21527738,BEFREE,3393
156,GRK2,C0004096,Asthma,C08;C20,25819984,BEFREE,2841
156,GRK2,C0027051,Myocardial Infarction,C14,20351116,BEFREE,3393
161,AP2A2,C0004096,Asthma,C08;C20,27611488,GWASCAT,2841
175,AGA,C0004096,Asthma,C08;C20,16021473,BEFREE,2841
177,AGER,C0007785,Cerebral Infarction,C10;C14,19005067,BEFREE,6713
177,AGER,C0271650,Impaired glucose tolerance,C18,18079485,LHGDN,9351
177,AGER,C0004096,Asthma,C08;C20,23304218,RGD,2841
177,AGER,C0027051,Myocardial Infarction,C14,21208063,BEFREE,3393
177,AGER,C0027051,Myocardial Infarction,C14,19910580,BEFREE,3393
